Lap,Temperature,Weather,Track_Surface,Downforce_Setup,Driving_Style,Race_Strategy,Safety_Car,Competitor_Strategy,Laps_Remaining,Tire_Compound
64,43,Sunny,Rough,Medium,Balanced,Two-stop,No,Undercut,6,Soft
36,14,Cloudy,Rough,Medium,Aggressive,One-stop,No,Undercut,34,Medium
17,40,Cloudy,Moderate,Medium,Balanced,Two-stop,No,Neutral,53,Hard
56,42,Sunny,Smooth,High,Aggressive,One-stop,No,Overcut,14,Soft
66,15,Cloudy,Smooth,High,Conservative,One-stop,Yes,Undercut,4,Soft
50,25,Rainy,Rough,Medium,Aggressive,One-stop,No,Overcut,20,Wet
55,14,Sunny,Rough,Low,Conservative,Three-stop,Yes,Neutral,15,Medium
52,30,Rainy,Rough,High,Aggressive,One-stop,No,Neutral,18,Wet
20,12,Cloudy,Rough,Low,Balanced,Three-stop,No,Overcut,50,Medium
15,11,Rainy,Rough,Low,Conservative,Two-stop,Yes,Overcut,55,Wet
53,14,Mixed,Smooth,Medium,Balanced,Two-stop,No,Overcut,17,Intermediate
24,38,Rainy,Smooth,Low,Conservative,Two-stop,No,Neutral,46,Wet
28,13,Cloudy,Smooth,Low,Balanced,One-stop,Yes,Overcut,42,Medium
27,36,Sunny,Moderate,Low,Conservative,Three-stop,No,Neutral,43,Hard
5,35,Cloudy,Rough,Low,Balanced,One-stop,No,Neutral,65,Medium
52,38,Mixed,Rough,Low,Conservative,Two-stop,Yes,Overcut,18,Intermediate
56,30,Sunny,Smooth,High,Balanced,Three-stop,No,Overcut,14,Soft
48,42,Sunny,Moderate,Medium,Balanced,Two-stop,Yes,Overcut,22,Hard
38,19,Mixed,Moderate,Low,Aggressive,Three-stop,No,Overcut,32,Intermediate
52,37,Sunny,Moderate,High,Aggressive,One-stop,No,Overcut,18,Medium
66,31,Rainy,Moderate,Low,Conservative,Two-stop,No,Overcut,4,Wet
62,26,Mixed,Rough,High,Conservative,Three-stop,No,Undercut,8,Intermediate
34,20,Rainy,Rough,Low,Balanced,Two-stop,No,Undercut,36,Wet
4,19,Rainy,Rough,Medium,Aggressive,Three-stop,No,Undercut,66,Wet
21,38,Sunny,Rough,Medium,Aggressive,Three-stop,Yes,Undercut,49,Soft
61,12,Cloudy,Moderate,Low,Aggressive,Two-stop,No,Undercut,9,Soft
63,24,Sunny,Moderate,Medium,Aggressive,One-stop,Yes,Overcut,7,Soft
1,14,Cloudy,Rough,Medium,Conservative,Two-stop,Yes,Overcut,69,Medium
35,14,Sunny,Smooth,High,Balanced,Three-stop,No,Neutral,35,Medium
8,29,Rainy,Smooth,Low,Balanced,Three-stop,No,Neutral,62,Wet
12,38,Sunny,Smooth,High,Aggressive,One-stop,Yes,Undercut,58,Medium
60,33,Mixed,Rough,High,Aggressive,Two-stop,Yes,Overcut,10,Intermediate
45,40,Sunny,Smooth,Medium,Aggressive,Three-stop,Yes,Undercut,25,Soft
69,41,Rainy,Smooth,Low,Balanced,Three-stop,No,Neutral,1,Wet
21,27,Mixed,Smooth,Low,Aggressive,One-stop,No,Neutral,49,Intermediate
51,20,Mixed,Smooth,High,Aggressive,Three-stop,No,Overcut,19,Intermediate
17,33,Cloudy,Moderate,Low,Aggressive,Two-stop,No,Overcut,53,Medium
32,38,Cloudy,Smooth,Medium,Conservative,Two-stop,Yes,Overcut,38,Hard
42,19,Rainy,Moderate,Low,Balanced,One-stop,Yes,Undercut,28,Wet
13,20,Cloudy,Moderate,High,Conservative,Two-stop,No,Overcut,57,Medium
21,32,Rainy,Rough,High,Aggressive,One-stop,No,Neutral,49,Wet
19,27,Cloudy,Smooth,Low,Aggressive,Three-stop,No,Undercut,51,Medium
